No_of_Prawns,Age_of_Pond,Food_Intake,Season,Prawn_Count
100000,23,6.1,Rainy,Cannot Predict
100000,24,6.6,Rainy,Cannot Predict
100000,25,7.1,Rainy,Cannot Predict
100000,26,7.6,Rainy,146.8
100000,27,8.1,Rainy,145.6
100000,28,8.6,Rainy,144.4
100000,29,9.1,Rainy,143.2
100000,30,9.6,Rainy,142
100000,31,10.1,Rainy,140.8
100000,32,10.6,Rainy,139.6
100000,33,11.1,Rainy,138.4
100000,34,11.6,Rainy,137.2
100000,35,12.1,Rainy,136
100000,36,12.6,Rainy,134.8
100000,37,13.1,Rainy,133.6
100000,38,13.6,Rainy,132.4
100000,39,14.1,Rainy,131.2
100000,40,14.6,Rainy,130
100000,41,15.1,Rainy,128.8
100000,42,15.6,Rainy,127.6
100000,43,16.1,Rainy,126.4
100000,44,16.6,Rainy,125.2
100000,45,17.1,Rainy,124
100000,46,17.6,Rainy,122.8
100000,47,18.1,Rainy,121.6
100000,48,18.6,Rainy,120.4
100000,49,19.1,Rainy,119.2
100000,50,19.6,Rainy,118
100000,51,20.1,Rainy,116.8
100000,52,20.6,Rainy,115.6
100000,53,21.1,Rainy,114.4
100000,54,21.6,Rainy,113.2
100000,55,22.1,Rainy,112
100000,56,22.1,Rainy,110.8
100000,57,22.1,Rainy,109.6
100000,58,22.1,Rainy,108.4
100000,59,22.1,Rainy,107.2
100000,60,22.1,Rainy,106
100000,61,22.1,Rainy,104.8
100000,62,22.1,Rainy,103.6
100000,63,22.1,Rainy,102.4
100000,64,22.1,Rainy,101.2
100000,65,22.1,Rainy,100
100000,66,22.1,Rainy,98.5
100000,67,22.1,Rainy,97
100000,68,22.1,Rainy,95.5
100000,69,22.1,Rainy,94
100000,70,22.1,Rainy,92.5
100000,71,22.1,Rainy,88
100000,72,22.1,Rainy,86
100000,73,22.1,Rainy,84
100000,74,22.1,Rainy,82
100000,75,22.1,Rainy,80
100000,76,22.1,Rainy,78
100000,77,22.1,Rainy,76
100000,78,22.1,Rainy,74
100000,79,22.1,Rainy,72
100000,80,50,Rainy,70
100000,81,50,Rainy,69.3
100000,82,50,Rainy,68.7
100000,83,50,Rainy,68
100000,84,50,Rainy,67.3
100000,85,50,Rainy,66.7
100000,86,50,Rainy,66
100000,87,50,Rainy,65.3
100000,88,50,Rainy,64.6
100000,89,50,Rainy,64
100000,90,50,Rainy,63.3
100000,91,50,Rainy,62.6
100000,92,50,Rainy,62
100000,93,50,Rainy,61.3
100000,94,50,Rainy,60.6
100000,95,50,Rainy,60
100000,96,50,Rainy,59.3
100000,97,50,Rainy,58.7
100000,98,50,Rainy,58
100000,99,50,Rainy,57.3
100000,100,50,Rainy,56.6
100000,101,50,Rainy,56
100000,102,50,Rainy,55.3
100000,103,50,Rainy,54.6
100000,104,50,Rainy,54
100000,105,50,Rainy,53.3
100000,106,50,Rainy,52.6
100000,107,50,Rainy,52
100000,108,50,Rainy,51.3
100000,109,50,Rainy,50.6
100000,110,50,Rainy,50
100000,111,50,Rainy,49.5
100000,112,50,Rainy,49
100000,113,50,Rainy,48.5
100000,114,50,Rainy,48
100000,115,50,Rainy,47.5
100000,116,50,Rainy,47
100000,117,50,Rainy,46.5
100000,118,50,Rainy,46
100000,119,50,Rainy,45.5
100000,120,50,Rainy,45
100000,121,50,Rainy,39.7
100000,122,50,Rainy,39.4
100000,123,50,Rainy,39.1
100000,124,50,Rainy,38.8
100000,125,50,Rainy,38.5
100000,126,50,Rainy,38.2
100000,127,50,Rainy,37.9
100000,128,50,Rainy,37.6
100000,129,50,Rainy,37.3
100000,130,50,Rainy,37
100000,131,50,Rainy,36.7
100000,132,50,Rainy,36.4
100000,133,50,Rainy,36.1
100000,134,50,Rainy,35.8
100000,135,50,Rainy,35.5
100000,136,50,Rainy,35.2
100000,137,50,Rainy,34.9
100000,138,50,Rainy,34.6
100000,139,50,Rainy,34.3
100000,140,50,Rainy,34
100000,141,50,Rainy,33.7
100000,142,50,Rainy,33.4
100000,143,50,Rainy,33.1
100000,144,50,Rainy,32.8
100000,145,50,Rainy,32.5
100000,146,50,Rainy,32.2
100000,147,50,Rainy,31.9
100000,148,50,Rainy,31.6
100000,149,50,Rainy,31.3
100000,150,50,Rainy,31
100000,151,50,Rainy,30.7
100000,152,50,Rainy,30.4
100000,153,50,Rainy,30.1
100000,154,50,Rainy,29.8
100000,155,50,Rainy,29.5
100000,156,50,Rainy,29.2
100000,157,50,Rainy,28.9
100000,158,50,Rainy,28.6
100000,159,50,Rainy,28.3
100000,160,50,Rainy,28
10000,1,0.4,Summer,Cannot Predict
10000,2,0.4,Summer,Cannot Predict
10000,3,0.4,Summer,Cannot Predict
10000,4,0.4,Summer,Cannot Predict
10000,5,0.4,Summer,Cannot Predict
10000,6,0.4,Summer,Cannot Predict
10000,7,0.4,Summer,Cannot Predict
10000,8,0.4,Summer,Cannot Predict
10000,9,0.4,Summer,Cannot Predict
10000,10,0.4,Summer,Cannot Predict
10000,11,0.41,Summer,Cannot Predict
10000,12,0.42,Summer,Cannot Predict
10000,13,0.43,Summer,Cannot Predict
10000,14,0.44,Summer,Cannot Predict
10000,15,0.45,Summer,Cannot Predict
10000,16,0.46,Summer,Cannot Predict
10000,17,0.47,Summer,Cannot Predict
10000,18,0.48,Summer,Cannot Predict
10000,19,0.49,Summer,Cannot Predict
10000,20,0.5,Summer,Cannot Predict
10000,21,0.51,Summer,Cannot Predict
10000,22,0.56,Summer,Cannot Predict
10000,23,0.61,Summer,Cannot Predict
10000,24,0.66,Summer,Cannot Predict
10000,25,0.71,Summer,Cannot Predict
10000,26,0.76,Summer,134.8
10000,27,0.81,Summer,133.6
10000,28,0.86,Summer,132.4
10000,29,0.91,Summer,131.2
10000,30,0.96,Summer,130
10000,31,1.01,Summer,128.8
10000,32,1.06,Summer,127.6
10000,33,1.11,Summer,126.4
10000,34,1.16,Summer,125.2
10000,35,1.21,Summer,124
10000,36,1.26,Summer,122.8
10000,37,1.31,Summer,121.6
10000,38,1.36,Summer,120.4
10000,39,1.41,Summer,119.2
10000,40,1.46,Summer,118
10000,41,1.51,Summer,116.8
10000,42,1.56,Summer,115.6
10000,43,1.61,Summer,114.4
10000,44,1.66,Summer,113.2
10000,45,1.71,Summer,112
10000,46,1.76,Summer,110.8
10000,47,1.81,Summer,109.6
10000,48,1.86,Summer,108.4
10000,49,1.91,Summer,107.2
10000,50,1.96,Summer,106
10000,51,2.01,Summer,104.8
10000,52,2.06,Summer,103.6
10000,53,2.11,Summer,102.4
10000,54,2.16,Summer,101.2
10000,55,2.21,Summer,100
10000,56,2.21,Summer,98.5
10000,57,2.21,Summer,97
10000,58,2.21,Summer,95.5
10000,59,2.21,Summer,94
10000,60,2.21,Summer,92.5
10000,61,2.21,Summer,88
10000,62,2.21,Summer,86
10000,63,2.21,Summer,84
10000,64,2.21,Summer,82
10000,65,2.21,Summer,80
10000,66,2.21,Summer,78
10000,67,2.21,Summer,76
10000,68,2.21,Summer,74
10000,69,2.21,Summer,72
10000,70,2.21,Summer,70
10000,71,2.21,Summer,68
10000,72,2.21,Summer,66
10000,73,2.21,Summer,64
10000,74,2.21,Summer,62
10000,75,2.21,Summer,60
10000,76,2.21,Summer,58
10000,77,2.21,Summer,56
10000,78,2.21,Summer,54
10000,79,2.21,Summer,52
10000,80,5,Summer,50
10000,81,5,Summer,49.3
10000,82,5,Summer,48.7
10000,83,5,Summer,48
10000,84,5,Summer,47.3
10000,85,5,Summer,46.6
10000,86,5,Summer,46
10000,87,5,Summer,45.3
10000,88,5,Summer,44.6
10000,89,5,Summer,44
10000,90,5,Summer,43.3
10000,91,5,Summer,42.6
10000,92,5,Summer,42
10000,93,5,Summer,41.3
10000,94,5,Summer,40.6
10000,95,5,Summer,40
10000,96,5,Summer,39.3
10000,97,5,Summer,38.7
10000,98,5,Summer,38
10000,99,5,Summer,37.3
10000,100,5,Summer,36.6
10000,101,5,Summer,36
10000,102,5,Summer,35.3
10000,103,5,Summer,34.6
10000,104,5,Summer,34
10000,105,5,Summer,33.3
10000,106,5,Summer,32.6
10000,107,5,Summer,32
10000,108,5,Summer,31.3
10000,109,5,Summer,30.6
10000,110,5,Summer,29.9
10000,111,5,Summer,29.5
10000,112,5,Summer,29
10000,113,5,Summer,28.5
10000,114,5,Summer,28
10000,115,5,Summer,27.5
10000,116,5,Summer,27
10000,117,5,Summer,26.5
10000,118,5,Summer,26
10000,119,5,Summer,25.5
10000,120,5,Summer,25
10000,121,5,Summer,24.7
10000,122,5,Summer,24.4
10000,123,5,Summer,24.1
10000,124,5,Summer,23.8
10000,125,5,Summer,23.5
10000,126,5,Summer,23.2
10000,127,5,Summer,22.9
10000,128,5,Summer,22.6
10000,129,5,Summer,22.3
10000,130,5,Summer,22
10000,131,5,Summer,21.7
10000,132,5,Summer,21.4
10000,133,5,Summer,21.1
10000,134,5,Summer,20.8
10000,135,5,Summer,20.5
10000,136,5,Summer,20.2
10000,137,5,Summer,19.9
10000,138,5,Summer,19.6
10000,139,5,Summer,19.3
10000,140,5,Summer,19
10000,141,5,Summer,18.7
10000,142,5,Summer,18.4
10000,143,5,Summer,18.1
10000,144,5,Summer,17.8
10000,145,5,Summer,17.5
10000,146,5,Summer,17.2
10000,147,5,Summer,16.9
10000,148,5,Summer,16.6
10000,149,5,Summer,16.3
10000,150,5,Summer,16
10000,151,5,Summer,15.7
10000,152,5,Summer,15.4
10000,153,5,Summer,15.1
10000,154,5,Summer,14.8
10000,155,5,Summer,14.5
10000,156,5,Summer,14.2
10000,157,5,Summer,13.9
10000,158,5,Summer,13.6
10000,159,5,Summer,13.3
10000,160,5,Summer,13
10000,1,0.4,Winter,Cannot Predict
10000,2,0.4,Winter,Cannot Predict
10000,3,0.4,Winter,Cannot Predict
10000,4,0.4,Winter,Cannot Predict
10000,5,0.4,Winter,Cannot Predict
10000,6,0.4,Winter,Cannot Predict
10000,7,0.4,Winter,Cannot Predict
10000,8,0.4,Winter,Cannot Predict
10000,9,0.4,Winter,Cannot Predict
10000,10,0.4,Winter,Cannot Predict
10000,11,0.41,Winter,Cannot Predict
10000,12,0.42,Winter,Cannot Predict
10000,13,0.43,Winter,Cannot Predict
10000,14,0.44,Winter,Cannot Predict
10000,15,0.45,Winter,Cannot Predict
10000,16,0.46,Winter,Cannot Predict
10000,17,0.47,Winter,Cannot Predict
10000,18,0.48,Winter,Cannot Predict
10000,19,0.49,Winter,Cannot Predict
10000,20,0.5,Winter,Cannot Predict
10000,21,0.51,Winter,Cannot Predict
10000,22,0.56,Winter,Cannot Predict
10000,23,0.61,Winter,Cannot Predict
10000,24,0.66,Winter,Cannot Predict
10000,25,0.71,Winter,Cannot Predict
10000,26,0.76,Winter,140.8
10000,27,0.81,Winter,139.6
10000,28,0.86,Winter,138.4
10000,29,0.91,Winter,137.2
10000,30,0.96,Winter,136
10000,31,1.01,Winter,134.8
10000,32,1.06,Winter,133.6
10000,33,1.11,Winter,132.4
10000,34,1.16,Winter,131.2
10000,35,1.21,Winter,130
10000,36,1.26,Winter,128.8
10000,37,1.31,Winter,127.6
10000,38,1.36,Winter,126.4
10000,39,1.41,Winter,125.2
10000,40,1.46,Winter,124
10000,41,1.51,Winter,122.8
10000,42,1.56,Winter,121.6
10000,43,1.61,Winter,120.4
10000,44,1.66,Winter,119.2
10000,45,1.71,Winter,118
10000,46,1.76,Winter,116.8
10000,47,1.81,Winter,115.6
10000,48,1.86,Winter,114.4
10000,49,1.91,Winter,113.2
10000,50,1.96,Winter,112
10000,51,2.01,Winter,110.8
10000,52,2.06,Winter,109.6
10000,53,2.11,Winter,108.4
10000,54,2.16,Winter,107.2
10000,55,2.21,Winter,106
10000,56,2.21,Winter,104.8
10000,57,2.21,Winter,103.6
10000,58,2.21,Winter,102.4
10000,59,2.21,Winter,101.2
10000,60,2.21,Winter,100
10000,61,2.21,Winter,98.5
10000,62,2.21,Winter,97
10000,63,2.21,Winter,95.5
10000,64,2.21,Winter,94
10000,65,2.21,Winter,92.5
10000,66,2.21,Winter,88
10000,67,2.21,Winter,86
10000,68,2.21,Winter,84
10000,69,2.21,Winter,82
10000,70,2.21,Winter,80
10000,71,2.21,Winter,78
10000,72,2.21,Winter,76
10000,73,2.21,Winter,74
10000,74,2.21,Winter,72
10000,75,2.21,Winter,70
10000,76,2.21,Winter,68
10000,77,2.21,Winter,66
10000,78,2.21,Winter,64
10000,79,2.21,Winter,62
10000,80,5,Winter,60
10000,81,5,Winter,59.3
10000,82,5,Winter,58.7
10000,83,5,Winter,58
10000,84,5,Winter,57.3
10000,85,5,Winter,56.6
10000,86,5,Winter,56
10000,87,5,Winter,55.3
10000,88,5,Winter,54.6
10000,89,5,Winter,54
10000,90,5,Winter,53.3
10000,91,5,Winter,52.6
10000,92,5,Winter,52
10000,93,5,Winter,51.3
10000,94,5,Winter,50.6
10000,95,5,Winter,50
10000,96,5,Winter,49.3
10000,97,5,Winter,48.7
10000,98,5,Winter,48
10000,99,5,Winter,47.3
10000,100,5,Winter,46.6
10000,101,5,Winter,46
10000,102,5,Winter,45.3
10000,103,5,Winter,44.6
10000,104,5,Winter,44
10000,105,5,Winter,43.3
10000,106,5,Winter,42.6
10000,107,5,Winter,42
10000,108,5,Winter,41.3
10000,109,5,Winter,40.6
10000,110,5,Winter,40
10000,111,5,Winter,39.5
10000,112,5,Winter,39
10000,113,5,Winter,38.5
10000,114,5,Winter,38
10000,115,5,Winter,37.5
10000,116,5,Winter,37
10000,117,5,Winter,36.5
10000,118,5,Winter,36
10000,119,5,Winter,35.5
10000,120,5,Winter,35
10000,121,5,Winter,34.7
10000,122,5,Winter,34.4
10000,123,5,Winter,34.1
10000,124,5,Winter,33.8
10000,125,5,Winter,33.5
10000,126,5,Winter,33.2
10000,127,5,Winter,32.9
10000,128,5,Winter,32.6
10000,129,5,Winter,32.3
10000,130,5,Winter,32
10000,131,5,Winter,31.7
10000,132,5,Winter,31.4
10000,133,5,Winter,31.1
10000,134,5,Winter,30.8
10000,135,5,Winter,30.5
10000,136,5,Winter,30.2
10000,137,5,Winter,29.9
10000,138,5,Winter,29.6
10000,139,5,Winter,29.3
10000,140,5,Winter,29
10000,141,5,Winter,28.7
10000,142,5,Winter,28.4
10000,143,5,Winter,28.1
10000,144,5,Winter,27.8
10000,145,5,Winter,27.5
10000,146,5,Winter,27.2
10000,147,5,Winter,26.9
10000,148,5,Winter,26.6
10000,149,5,Winter,26.3
10000,150,5,Winter,26
10000,151,5,Winter,25.7
10000,152,5,Winter,25.4
10000,153,5,Winter,25.1
10000,154,5,Winter,24.8
10000,155,5,Winter,24.5
10000,156,5,Winter,24.2
10000,157,5,Winter,23.9
10000,158,5,Winter,23.6
10000,159,5,Winter,23.3
10000,160,5,Winter,23
10000,1,0.4,Rainy,Cannot Predict
10000,2,0.4,Rainy,Cannot Predict
10000,3,0.4,Rainy,Cannot Predict
10000,4,0.4,Rainy,Cannot Predict
10000,5,0.4,Rainy,Cannot Predict
10000,6,0.4,Rainy,Cannot Predict
10000,7,0.4,Rainy,Cannot Predict
10000,8,0.4,Rainy,Cannot Predict
10000,9,0.4,Rainy,Cannot Predict
10000,10,0.4,Rainy,Cannot Predict
10000,11,0.41,Rainy,Cannot Predict
10000,12,0.42,Rainy,Cannot Predict
10000,13,0.43,Rainy,Cannot Predict
10000,14,0.44,Rainy,Cannot Predict
10000,15,0.45,Rainy,Cannot Predict
10000,16,0.46,Rainy,Cannot Predict
10000,17,0.47,Rainy,Cannot Predict
10000,18,0.48,Rainy,Cannot Predict
10000,19,0.49,Rainy,Cannot Predict
10000,20,0.5,Rainy,Cannot Predict
10000,21,0.51,Rainy,Cannot Predict
10000,22,0.56,Rainy,Cannot Predict
10000,23,0.61,Rainy,Cannot Predict
10000,24,0.66,Rainy,Cannot Predict
10000,25,0.71,Rainy,Cannot Predict
10000,26,0.76,Rainy,146.8
10000,27,0.81,Rainy,145.6
10000,28,0.86,Rainy,144.4
10000,29,0.91,Rainy,143.2
10000,30,0.96,Rainy,142
10000,31,1.01,Rainy,140.8
10000,32,1.06,Rainy,139.6
10000,33,1.11,Rainy,138.4
10000,34,1.16,Rainy,137.2
10000,35,1.21,Rainy,136
10000,36,1.26,Rainy,134.8
10000,37,1.31,Rainy,133.6
10000,38,1.36,Rainy,132.4
10000,39,1.41,Rainy,131.2
10000,40,1.46,Rainy,130
10000,41,1.51,Rainy,128.8
10000,42,1.56,Rainy,127.6
10000,43,1.61,Rainy,126.4
10000,44,1.66,Rainy,125.2
10000,45,1.71,Rainy,124
10000,46,1.76,Rainy,122.8
10000,47,1.81,Rainy,121.6
10000,48,1.86,Rainy,120.4
10000,49,1.91,Rainy,119.2
